Case #1:
0 9998
0 9999
0 29996
0 29997
0 49994
0 49995
0 69992
0 69993
0 89990
0 89991
0 109988
0 109989
0 129986
0 129987
0 149984
0 149985
0 169982
0 169983
0 189980
0 189981
0 209978
0 209979
0 229976
0 229977
0 249974
0 249975
0 269972
0 269973
0 289970
0 289971
0 309968
0 309969
0 329966
0 329967
0 349964
0 349965
0 369962
0 369963
0 389960
0 389961
0 409958
0 409959
0 429956
0 429957
0 449954
0 449955
0 469952
0 469953
0 489950
0 489951
0 509948
0 509949
0 529946
0 529947
0 549944
0 549945
0 569942
0 569943
0 589940
0 589941
0 609938
0 609939
0 629936
0 629937
19997 9998
19997 9999
19997 29996
19997 29997
19997 49994
19997 49995
19997 69992
19997 69993
19997 89990
19997 89991
19997 109988
19997 109989
19997 129986
19997 129987
19997 149984
19997 149985
19997 169982
19997 169983
19997 189980
19997 189981
19997 209978
19997 209979
19997 229976
19997 229977
19997 249974
19997 249975
19997 269972
19997 269973
19997 289970
19997 289971
19997 309968
19997 309969
19997 329966
19997 329967
19997 349964
19997 349965
19997 369962
19997 369963
19997 389960
19997 389961
19997 409958
19997 409959
19997 429956
19997 429957
19997 449954
19997 449955
19997 469952
19997 469953
19997 489950
19997 489951
19997 509948
19997 509949
19997 529946
19997 529947
19997 549944
19997 549945
19997 569942
19997 569943
19997 589940
19997 589941
19997 609938
19997 609939
19997 629936
19997 629937
19998 9998
19998 9999
19998 29996
19998 29997
19998 49994
19998 49995
19998 69992
19998 69993
19998 89990
19998 89991
19998 109988
19998 109989
19998 129986
19998 129987
19998 149984
19998 149985
19998 169982
19998 169983
19998 189980
19998 189981
19998 209978
19998 209979
19998 229976
19998 229977
19998 249974
19998 249975
19998 269972
19998 269973
19998 289970
19998 289971
19998 309968
19998 309969
19998 329966
19998 329967
19998 349964
19998 349965
19998 369962
19998 369963
19998 389960
19998 389961
19998 409958
19998 409959
19998 429956
19998 429957
19998 449954
19998 449955
19998 469952
19998 469953
19998 489950
19998 489951
19998 509948
19998 509949
19998 529946
19998 529947
19998 549944
19998 549945
19998 569942
19998 569943
19998 589940
19998 589941
19998 609938
19998 609939
19998 629936
19998 629937
39995 9998
39995 9999
39995 29996
39995 29997
39995 49994
39995 49995
39995 69992
39995 69993
39995 89990
39995 89991
39995 109988
39995 109989
39995 129986
39995 129987
39995 149984
39995 149985
39995 169982
39995 169983
39995 189980
39995 189981
39995 209978
39995 209979
39995 229976
39995 229977
39995 249974
39995 249975
39995 269972
39995 269973
39995 289970
39995 289971
39995 309968
39995 309969
39995 329966
39995 329967
39995 349964
39995 349965
39995 369962
39995 369963
39995 389960
39995 389961
39995 409958
39995 409959
39995 429956
39995 429957
39995 449954
39995 449955
39995 469952
39995 469953
39995 489950
39995 489951
39995 509948
39995 509949
39995 529946
39995 529947
39995 549944
39995 549945
39995 569942
39995 569943
39995 589940
39995 589941
39995 609938
39995 609939
39995 629936
39995 629937
39996 9998
39996 9999
39996 29996
39996 29997
39996 49994
39996 49995
39996 69992
39996 69993
39996 89990
39996 89991
39996 109988
39996 109989
39996 129986
39996 129987
39996 149984
39996 149985
39996 169982
39996 169983
39996 189980
39996 189981
39996 209978
39996 209979
39996 229976
39996 229977
39996 249974
39996 249975
39996 269972
39996 269973
39996 289970
39996 289971
39996 309968
39996 309969
39996 329966
39996 329967
39996 349964
39996 349965
39996 369962
39996 369963
39996 389960
39996 389961
39996 409958
39996 409959
39996 429956
39996 429957
39996 449954
39996 449955
39996 469952
39996 469953
39996 489950
39996 489951
39996 509948
39996 509949
39996 529946
39996 529947
39996 549944
39996 549945
39996 569942
39996 569943
39996 589940
39996 589941
39996 609938
39996 609939
39996 629936
39996 629937
59993 9998
59993 9999
59993 29996
59993 29997
59993 49994
59993 49995
59993 69992
59993 69993
59993 89990
59993 89991
59993 109988
59993 109989
59993 129986
59993 129987
59993 149984
59993 149985
59993 169982
59993 169983
59993 189980
59993 189981
59993 209978
59993 209979
59993 229976
59993 229977
59993 249974
59993 249975
59993 269972
59993 269973
59993 289970
59993 289971
59993 309968
59993 309969
59993 329966
59993 329967
59993 349964
59993 349965
59993 369962
59993 369963
59993 389960
59993 389961
59993 409958
59993 409959
59993 429956
59993 429957
59993 449954
59993 449955
59993 469952
59993 469953
59993 489950
59993 489951
59993 509948
59993 509949
59993 529946
59993 529947
59993 549944
59993 549945
59993 569942
59993 569943
59993 589940
59993 589941
59993 609938
59993 609939
59993 629936
59993 629937
59994 9998
59994 9999
59994 29996
59994 29997
59994 49994
59994 49995
59994 69992
59994 69993
59994 89990
59994 89991
59994 109988
59994 109989
59994 129986
59994 129987
59994 149984
59994 149985
59994 169982
59994 169983
59994 189980
59994 189981
59994 209978
59994 209979
59994 229976
59994 229977
59994 249974
59994 249975
59994 269972
59994 269973
59994 289970
59994 289971
59994 309968
59994 309969
59994 329966
59994 329967
59994 349964
59994 349965
59994 369962
59994 369963
59994 389960
59994 389961
59994 409958
59994 409959
59994 429956
59994 429957
59994 449954
59994 449955
59994 469952
59994 469953
59994 489950
59994 489951
59994 509948
59994 509949
59994 529946
59994 529947
59994 549944
59994 549945
59994 569942
59994 569943
59994 589940
59994 589941
59994 609938
59994 609939
59994 629936
59994 629937
79991 9998
79991 9999
79991 29996
79991 29997
79991 49994
79991 49995
79991 69992
79991 69993
79991 89990
79991 89991
79991 109988
79991 109989
79991 129986
79991 129987
79991 149984
79991 149985
79991 169982
79991 169983
79991 189980
79991 189981
79991 209978
79991 209979
79991 229976
79991 229977
79991 249974
79991 249975
79991 269972
79991 269973
79991 289970
79991 289971
79991 309968
79991 309969
79991 329966
79991 329967
79991 349964
79991 349965
79991 369962
79991 369963
79991 389960
79991 389961
79991 409958
79991 409959
79991 429956
79991 429957
79991 449954
79991 449955
79991 469952
79991 469953
79991 489950
79991 489951
79991 509948
79991 509949
79991 529946
79991 529947
79991 549944
79991 549945
79991 569942
79991 569943
79991 589940
79991 589941
79991 609938
79991 609939
79991 629936
79991 629937
79992 9998
79992 9999
79992 29996
79992 29997
79992 49994
79992 49995
79992 69992
79992 69993
79992 89990
79992 89991
79992 109988
79992 109989
79992 129986
79992 129987
79992 149984
79992 149985
79992 169982
79992 169983
79992 189980
79992 189981
79992 209978
79992 209979
79992 229976
79992 229977
79992 249974
79992 249975
79992 269972
79992 269973
79992 289970
79992 289971
79992 309968
79992 309969
79992 329966
79992 329967
79992 349964
79992 349965
79992 369962
79992 369963
79992 389960
79992 389961
79992 409958
79992 409959
79992 429956
79992 429957
79992 449954
79992 449955
79992 469952
79992 469953
79992 489950
79992 489951
79992 509948
79992 509949
79992 529946
79992 529947
79992 549944
79992 549945
79992 569942
79992 569943
79992 589940
79992 589941
79992 609938
79992 609939
79992 629936
79992 629937
99989 9998
99989 9999
99989 29996
99989 29997
99989 49994
99989 49995
99989 69992
99989 69993
99989 89990
99989 89991
99989 109988
99989 109989
99989 129986
99989 129987
99989 149984
99989 149985
99989 169982
99989 169983
99989 189980
99989 189981
99989 209978
99989 209979
99989 229976
99989 229977
99989 249974
99989 249975
99989 269972
99989 269973
99989 289970
99989 289971
99989 309968
99989 309969
99989 329966
99989 329967
99989 349964
99989 349965
99989 369962
99989 369963
99989 389960
99989 389961
99989 409958
99989 409959
99989 429956
99989 429957
99989 449954
99989 449955
99989 469952
99989 469953
99989 489950
99989 489951
99989 509948
99989 509949
99989 529946
99989 529947
99989 549944
99989 549945
99989 569942
99989 569943
99989 589940
99989 589941
99989 609938
99989 609939
99989 629936
99989 629937
99990 9998
99990 9999
99990 29996
99990 29997
99990 49994
99990 49995
99990 69992
99990 69993
99990 89990
99990 89991
99990 109988
99990 109989
99990 129986
99990 129987
99990 149984
99990 149985
99990 169982
99990 169983
99990 189980
99990 189981
99990 209978
99990 209979
99990 229976
99990 229977
99990 249974
99990 249975
99990 269972
99990 269973
99990 289970
99990 289971
99990 309968
99990 309969
99990 329966
99990 329967
99990 349964
99990 349965
99990 369962
99990 369963
99990 389960
99990 389961
99990 409958
99990 409959
99990 429956
99990 429957
99990 449954
99990 449955
99990 469952
99990 469953
99990 489950
99990 489951
99990 509948
99990 509949
99990 529946
99990 529947
99990 549944
99990 549945
99990 569942
99990 569943
99990 589940
99990 589941
99990 609938
99990 609939
99990 629936
99990 629937
119987 9998
119987 9999
119987 29996
119987 29997
119987 49994
119987 49995
119987 69992
119987 69993
119987 89990
119987 89991
119987 109988
119987 109989
119987 129986
119987 129987
119987 149984
119987 149985
119987 169982
119987 169983
119987 189980
119987 189981
119987 209978
119987 209979
119987 229976
119987 229977
119987 249974
119987 249975
119987 269972
119987 269973
119987 289970
119987 289971
119987 309968
119987 309969
119987 329966
119987 329967
119987 349964
119987 349965
119987 369962
119987 369963
119987 389960
119987 389961
119987 409958
119987 409959
119987 429956
119987 429957
119987 449954
119987 449955
119987 469952
119987 469953
119987 489950
119987 489951
119987 509948
119987 509949
119987 529946
119987 529947
119987 549944
119987 549945
119987 569942
119987 569943
119987 589940
119987 589941
119987 609938
119987 609939
119987 629936
119987 629937
119988 9998
119988 9999
119988 29996
119988 29997
119988 49994
119988 49995
119988 69992
119988 69993
119988 89990
119988 89991
119988 109988
119988 109989
119988 129986
119988 129987
119988 149984
119988 149985
119988 169982
119988 169983
119988 189980
119988 189981
119988 209978
119988 209979
119988 229976
119988 229977
119988 249974
119988 249975
119988 269972
119988 269973
119988 289970
119988 289971
119988 309968
119988 309969
119988 329966
119988 329967
119988 349964
119988 349965
119988 369962
119988 369963
119988 389960
119988 389961
119988 409958
119988 409959
119988 429956
119988 429957
119988 449954
119988 449955
119988 469952
119988 469953
119988 489950
119988 489951
119988 509948
119988 509949
119988 529946
119988 529947
119988 549944
119988 549945
119988 569942
119988 569943
119988 589940
119988 589941
119988 609938
119988 609939
119988 629936
119988 629937
139985 9998
139985 9999
139985 29996
139985 29997
139985 49994
139985 49995
139985 69992
139985 69993
139985 89990
139985 89991
139985 109988
139985 109989
139985 129986
139985 129987
139985 149984
139985 149985
139985 169982
139985 169983
139985 189980
139985 189981
139985 209978
139985 209979
139985 229976
139985 229977
139985 249974
139985 249975
139985 269972
139985 269973
139985 289970
139985 289971
139985 309968
139985 309969
139985 329966
139985 329967
139985 349964
139985 349965
139985 369962
139985 369963
139985 389960
139985 389961
139985 409958
139985 409959
139985 429956
139985 429957
139985 449954
139985 449955
139985 469952
139985 469953
139985 489950
139985 489951
139985 509948
139985 509949
139985 529946
139985 529947
139985 549944
139985 549945
139985 569942
139985 569943
139985 589940
139985 589941
139985 609938
139985 609939
139985 629936
139985 629937
139986 9998
139986 9999
139986 29996
139986 29997
139986 49994
139986 49995
139986 69992
139986 69993
139986 89990
139986 89991
139986 109988
139986 109989
139986 129986
139986 129987
139986 149984
139986 149985
139986 169982
139986 169983
139986 189980
139986 189981
139986 209978
139986 209979
139986 229976
139986 229977
139986 249974
139986 249975
139986 269972
139986 269973
139986 289970
139986 289971
139986 309968
139986 309969
139986 329966
139986 329967
139986 349964
139986 349965
139986 369962
139986 369963
139986 389960
139986 389961
139986 409958
139986 409959
139986 429956
139986 429957
139986 449954
139986 449955
139986 469952
139986 469953
139986 489950
139986 489951
139986 509948
139986 509949
139986 529946
139986 529947
139986 549944
139986 549945
139986 569942
139986 569943
139986 589940
139986 589941
139986 609938
139986 609939
139986 629936
139986 629937
159983 9998
159983 9999
159983 29996
159983 29997
159983 49994
159983 49995
159983 69992
159983 69993
159983 89990
159983 89991
159983 109988
159983 109989
159983 129986
159983 129987
159983 149984
159983 149985
159983 169982
159983 169983
159983 189980
159983 189981
159983 209978
159983 209979
159983 229976
159983 229977
159983 249974
159983 249975
159983 269972
159983 269973
159983 289970
159983 289971
159983 309968
159983 309969
159983 329966
159983 329967
159983 349964
159983 349965
159983 369962
159983 369963
159983 389960
159983 389961
159983 409958
159983 409959
159983 429956
159983 429957
159983 449954
159983 449955
159983 469952
159983 469953
159983 489950
159983 489951
159983 509948
159983 509949
159983 529946
159983 529947
159983 549944
159983 549945
159983 569942
159983 569943
159983 589940
159983 589941
159983 609938
159983 609939
159983 629936
159983 629937
159984 9998
159984 9999
159984 29996
159984 29997
159984 49994
159984 49995
159984 69992
159984 69993
159984 89990
159984 89991
159984 109988
159984 109989
159984 129986
159984 129987
159984 149984
159984 149985
159984 169982
159984 169983
159984 189980
159984 189981
159984 209978
159984 209979
159984 229976
159984 229977
159984 249974
159984 249975
159984 269972
159984 269973
159984 289970
159984 289971
159984 309968
159984 309969
159984 329966
159984 329967
159984 349964
159984 349965
159984 369962
159984 369963
159984 389960
159984 389961
159984 409958
159984 409959
159984 429956
159984 429957
159984 449954
159984 449955
159984 469952
159984 469953
159984 489950
159984 489951
159984 509948
159984 509949
159984 529946
159984 529947
159984 549944
159984 549945
159984 569942
159984 569943
159984 589940
159984 589941
159984 609938
159984 609939
159984 629936
159984 629937
179981 9998
179981 9999
179981 29996
179981 29997
179981 49994
179981 49995
179981 69992
179981 69993
179981 89990
179981 89991
179981 109988
179981 109989
179981 129986
179981 129987
179981 149984
179981 149985
179981 169982
179981 169983
179981 189980
179981 189981
179981 209978
179981 209979
179981 229976
