Case #1:
0 16
0 63
0 96
0 143
0 176
0 223
0 256
0 303
3 22
3 32
3 47
3 57
3 102
3 112
3 127
3 137
3 182
3 192
3 207
3 217
3 262
3 272
3 287
3 297
8 34
8 45
8 114
8 125
8 194
8 205
8 274
8 285
10 5
10 74
10 85
10 154
10 165
10 234
10 245
10 314
13 9
13 70
13 89
13 150
13 169
13 230
13 249
13 310
Case #2:
16 26
16 57
16 110
16 141
16 194
16 225
16 278
16 309
16 362
16 393
16 446
16 477
16 530
16 561
16 614
16 645
16 698
16 729
16 782
16 813
16 866
16 897
16 950
16 981
16 1034
16 1065
16 1118
16 1149
16 1202
16 1233
16 1286
16 1317
16 1370
16 1401
16 1454
16 1485
16 1538
16 1569
16 1622
16 1653
16 1706
16 1737
16 1790
16 1821
16 1874
16 1905
16 1958
16 1989
16 2042
16 2073
16 2126
16 2157
16 2210
16 2241
16 2294
16 2325
16 2378
16 2409
16 2462
16 2493
16 2546
16 2577
16 2630
16 2661
16 2714
16 2745
16 2798
16 2829
16 2882
16 2913
16 2966
16 2997
16 3050
16 3081
16 3134
16 3165
16 3218
16 3249
16 3302
16 3333
16 3386
16 3417
16 3470
16 3501
16 3554
16 3585
16 3638
16 3669
16 3722
16 3753
16 3806
16 3837
16 3890
16 3921
16 3974
16 4005
16 4058
16 4089
16 4142
16 4173
16 4226
16 4257
16 4310
16 4341
16 4394
16 4425
16 4478
16 4509
16 4562
16 4593
16 4646
16 4677
16 4730
16 4761
16 4814
16 4845
16 4898
16 4929
16 4982
16 5013
16 5066
16 5097
16 5150
16 5181
16 5234
16 5265
16 5318
16 5349
35 21
35 62
35 105
35 146
35 189
35 230
35 273
35 314
35 357
35 398
35 441
35 482
35 525
35 566
35 609
35 650
35 693
35 734
35 777
35 818
35 861
35 902
35 945
35 986
35 1029
35 1070
35 1113
35 1154
35 1197
35 1238
35 1281
35 1322
35 1365
35 1406
35 1449
35 1490
35 1533
35 1574
35 1617
35 1658
35 1701
35 1742
35 1785
35 1826
35 1869
35 1910
35 1953
35 1994
35 2037
35 2078
35 2121
35 2162
35 2205
35 2246
35 2289
35 2330
35 2373
35 2414
35 2457
35 2498
35 2541
35 2582
35 2625
35 2666
35 2709
35 2750
35 2793
35 2834
35 2877
35 2918
35 2961
